candidate_id,rank,score,reasoning
CAND_0018722,60,171.760425,"Recommendation Systems Engineer, 6.6 yrs, 1 retrieval skills, 2 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0070485,61,170.580282,"Search Engineer, 6.4 yrs, 3 retrieval skills, 1 LLM skills, Open to work"
CAND_0007009,62,170.540455,"Recommendation Systems Engineer, 7.9 yrs, 2 retrieval skills, 2 LLM skills, Open to work, Strong interview completion"
CAND_0014440,63,170.073761,"Recommendation Systems Engineer, 6.4 yrs, 2 retrieval skills, 1 LLM skills, Open to work, Strong interview completion"
CAND_0076251,64,169.354145,"Search Engineer, 7.6 yrs, 1 retrieval skills, 3 LLM skills, Open to work"
CAND_0069905,65,169.276515,"Applied ML Engineer, 6.6 yrs, 2 retrieval skills, 2 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0047721,66,169.171253,"Senior Data Scientist, 7.0 yrs, 4 retrieval skills"
CAND_0098846,67,168.651446,"AI Engineer, 7.6 yrs, 1 retrieval skills, 2 LLM skills, Open to work"
CAND_0011432,68,168.140726,"Senior Data Scientist, 7.6 yrs, 1 LLM skills, Open to work, Strong interview completion"
CAND_0053591,69,167.135452,"AI Engineer, 5.3 yrs, 4 retrieval skills, 1 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0062247,70,166.592629,"AI Engineer, 7.3 yrs, 4 retrieval skills, 1 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0054123,71,166.285994,"Applied ML Engineer, 4.7 yrs, 2 retrieval skills, 4 LLM skills, High recruiter response"
CAND_0066376,72,165.336298,"Applied ML Engineer, 5.7 yrs, 4 retrieval skills, 2 LLM skills, Open to work"
CAND_0077285,73,165.140356,"Recommendation Systems Engineer, 5.5 yrs, 6 retrieval skills, 1 LLM skills, Open to work"
CAND_0012957,74,164.571452,"Search Engineer, 4.9 yrs, 2 retrieval skills, 2 LLM skills, Strong interview completion"
CAND_0052335,75,163.476277,"Applied ML Engineer, 6.4 yrs, 2 retrieval skills, 1 LLM skills, Open to work, High recruiter response"
CAND_0043228,76,163.113594,"Applied ML Engineer, 6.8 yrs, 2 retrieval skills, 1 LLM skills, Strong interview completion"
CAND_0093912,77,162.236787,"Senior Data Scientist, 5.3 yrs, 4 retrieval skills, Open to work, Strong interview completion"
CAND_0051615,78,161.646784,"Search Engineer, 4.6 yrs, 4 retrieval skills, 3 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0060072,79,160.279364,"Staff Machine Learning Engineer, 5.7 yrs, 6 retrieval skills, 2 LLM skills, Strong interview completion"
CAND_0066999,80,158.830355,"Recommendation Systems Engineer, 5.9 yrs, 4 retrieval skills, 1 LLM skills, Open to work"
CAND_0024620,81,157.375748,"AI Engineer, 5.9 yrs, 3 retrieval skills, 2 LLM skills, Open to work, Strong interview completion"
CAND_0054394,82,156.912,"Recommendation Systems Engineer, 4.1 yrs, 2 retrieval skills, 3 LLM skills, Open to work, Strong interview completion"
CAND_0009691,83,155.645521,"Applied ML Engineer, 6.2 yrs, 4 retrieval skills, 4 LLM skills, Open to work"
CAND_0010685,84,155.085714,"6.7 yrs, 2 retrieval skills, 2 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0020708,85,154.602156,"Search Engineer, 4.2 yrs, 2 retrieval skills, 4 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0042029,86,154.506739,"Senior Data Scientist, 6.5 yrs, 2 retrieval skills, 1 LLM skills"
CAND_0093547,87,153.241142,"Senior Machine Learning Engineer, 2.9 yrs, 4 retrieval skills, 2 LLM skills, High recruiter response, Strong interview completion"
CAND_0087630,88,152.141761,"AI Engineer, 7.2 yrs, 2 retrieval skills, 2 LLM skills, Strong interview completion"
CAND_0095528,89,151.698836,"Senior Data Scientist, 5.3 yrs, 3 retrieval skills, 1 LLM skills, Open to work, Strong interview completion"
CAND_0078492,90,151.535109,"Recommendation Systems Engineer, 5.1 yrs, 2 retrieval skills, 2 LLM skills, Open to work, Strong interview completion"
CAND_0015528,91,151.460464,"Applied ML Engineer, 7.4 yrs, 2 retrieval skills, 2 LLM skills"
CAND_0045250,92,151.000026,"Applied ML Engineer, 6.6 yrs, 4 retrieval skills, 2 LLM skills, High recruiter response"
CAND_0036437,93,150.694201,"Search Engineer, 4.8 yrs, 4 retrieval skills, High recruiter response, Strong interview completion"
CAND_0084819,94,150.247528,"Search Engineer, 4.5 yrs, 4 retrieval skills, Open to work, High recruiter response, Strong interview completion"
CAND_0010257,95,150.161687,"Senior Data Scientist, 6.5 yrs, 2 retrieval skills, Open to work, High recruiter response, Strong interview completion"
CAND_0096142,96,150.000838,"Applied ML Engineer, 5.0 yrs, 2 retrieval skills, 1 LLM skills, Open to work, High recruiter response"
CAND_0049538,97,149.615244,"Applied ML Engineer, 5.8 yrs, 4 retrieval skills, 2 LLM skills, High recruiter response"
CAND_0052328,98,149.544142,"Recommendation Systems Engineer, 6.5 yrs, 3 retrieval skills, 2 LLM skills, Open to work, High recruiter response, Strong interview completion"
CAND_0033179,99,149.465178,"AI Research Engineer, 6.9 yrs, 1 retrieval skills, 2 LLM skills, Open to work, High recruiter response"
CAND_0058575,100,149.377022,"AI Engineer, 5.8 yrs, 3 retrieval skills, 1 LLM skills, Open to work"
